agent_1,agent_2,sat,dep,commit,ticks_tog,tick
10,18,5.956666666666667,8.123333333333333,-6,3,78
10,19,16.66047619047619,-8.489523809523808,-28,7,78
10,20,4.5,0.5,-1,1,78
11,1,-10,-5,0,0,78
11,2,23.8175,15.984166666666667,-60,4,78
11,3,2.5,1.5,-18,2,78
11,4,-9,-1,0,0,78
11,5,-7,-8,0,0,78
11,6,-3,14,-6,1,78
11,7,17.5,6.5,-18,2,78
11,8,11.975,23.974999999999998,-18,2,78
11,9,-0.5,18.5,-18,2,78
11,10,-4,-10,0,0,78
11,12,1,7,0,0,78
11,13,7,-3,0,0,78
11,14,21.046666666666667,36.71333333333333,-36,3,78
11,15,17,11,-6,1,78
11,16,-4,2,0,0,78
11,17,18.79,17.79,-6,1,78
11,18,10.5,5.5,-6,1,78
11,19,-10,-3,0,0,78
11,20,179.64321446171758,196.96962195428773,-10620,59,78
12,1,19.505,37.004999999999995,-90,4,78
12,2,15.3525,17.8535,-90,4,78
12,3,17.011071428571427,39.568214285714284,-252,7,78
12,4,-2,-10,0,0,78
12,5,6,8,0,0,78
12,6,-5.83,14.727142857142857,-252,7,78
12,7,-3,7,0,0,78
12,8,4,0.001,0,0,78
12,9,10.33,14.903809523809523,-495,10,78
12,10,20.407166666666665,40.107166666666664,-135,5,78
12,11,-6,-6,0,0,78
12,13,5.963333333333333,27.963333333333335,-54,3,78
12,14,67.84388121845473,93.4811963542993,-1377,17,78
12,15,-1.1349999999999998,25.865000000000002,-27,2,78
12,16,27.48982142857143,42.79696428571428,-324,8,78
12,17,23.828619047619046,34.38576190476191,-252,7,78
12,18,11.066666666666666,42.56666666666667,-90,4,78
12,19,-1,5,0,0,78
12,20,-2,-8,0,0,78
13,1,0,0,-1,1,78
13,2,10,-5,0,0,78
13,3,30.048333333333332,23.715,-10,4,78
13,4,16,-4,-3,2,78
13,5,10545.059138759061,10532.224950058804,-1176,48,78
13,6,24.24333333333333,2.9099999999999993,-6,3,78
13,7,24.46941666666666,7.753543650793651,-55,10,78
13,8,-6,-10,0,0,78
13,9,-3,0.001,0,0,78
13,10,-2,3,0,0,78
13,11,1,-10,0,0,78
13,12,15,-2.3333333333333335,-6,3,78
13,14,17.85,12.516666666666666,-6,3,78
13,15,13.79,-1.21,-1,1,78
13,16,7.199999999999999,-2.8,-1,1,78
13,17,9,-7,0,0,78
13,18,20.884999999999998,18.884999999999998,-3,2,78
13,19,0,1,0,0,78
13,20,8,0.001,0,0,78
14,1,-9.875,-0.375,-27,2,78
14,2,-4,-5.999,-9,1,78
14,3,-9.521666666666668,-8.0216666666666665,-54,3,78
14,4,7.297622072372075,0.3429350926850925,-1080,15,78
14,5,-10,6,0,0,78
